_id,categoria,link,nombre,puntuacion,ubicacion
Puerta de Europa - Torres KIO,Puntos emblemáticos y de interés,null,Puerta de Europa - Torres KIO,4.0,"Plaza de Castilla, 28046 Madrid España"
Edificio Telefónica,Puntos emblemáticos y de interés • Interés arquitectonico,http://espacio.fundaciontelefonica.com/,Edificio Telefónica,4.0,"Calle Gran Via 28, 28004 Madrid España"
Kenika Thai Massage,Spas,http://www.kenikathaimassage.es/,Kenika Thai Massage,5.0,"Paseo de la Habana 42 Local Puerta Calle, 28036 Madrid España"
The City by Experiencity Escape Room,Juegos de escape,http://thecityescaperoom.com/,The City by Experiencity Escape Room,5.0,"Calle de San Cayetano 3B, 28005 Madrid España"
Cooking Point,Clases de cocina,http://cookingpoint.es/,Cooking Point,5.0,"Calle Moratin 11, 28014 Madrid España"
Pantheon Goya,Puntos emblemáticos y de interés,tel:%2B34%20915%2042%2007%2022,Pantheon Goya,4.5,"Glorieta San Antonio de La Florida 5 San Antonio de la Florida chapel, 28008 Madrid España"
El Rey León,Teatros y actuaciones,http://www.elreyleon.es/,El Rey León,4.5,"Calle Gran Via 57, 28013 Madrid España"
Lush Spa Madrid,Spas,http://www.lush.com/es/es/shops/lush-spa-madrid?id=LUSH%20SPA%20MADRID,Lush Spa Madrid,5.0,"Calle de Carmen 24, 28013 Madrid España"
Cubick Escape Room,Juegos de escape,http://cubickmadrid.es/,Cubick Escape Room,5.0,"Calle Tellez 3, 28007 Madrid España"
Plaza de la Independencia,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d7138413-Plaza_de_la_Independencia-Madrid.html,Plaza de la Independencia,4.0,no disponible
Real Casa de Correos,Interés arquitectonico,null,Real Casa de Correos,4.0,"Plaza Puerta del Sol 7, 28013 Madrid España"
Terror Stories Experiencity,Juegos de escape,http://www.terrorstories.com/,Terror Stories Experiencity,5.0,"Plaza de Comendadoras, 28015 Madrid España"
Juego Enigma,Juegos de escape,http://juegoenigmamadrid.es/es,Juego Enigma,5.0,"Calle Nuestra Señora del Carmen 7, 28039 Madrid España"
Puente de Segovia,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d4606322-Puente_de_Segovia-Madrid.html,Puente de Segovia,4.5,no disponible
